Country of Nationality,2014 0-14,2014 15-24,2014 25-34,2014 35-44,2014 45-54,2014 55-64,2014 65 AND ABOVE,2015 0-14,2015 15-24,2015 25-34,2015 35-44,2015 45-54,2015 55-64,2015 65 AND ABOVE,2016 0-14,2016 15-24,2016 25-34,2016 35-44,2016 45-54,2016 55-64,2016 65 AND ABOVE,2017 0-14,2017 15-24,2017 25-34,2017 35-44,2017 45-54,2017 55-64,2017 65 AND ABOVE,2018 0-14,2018 15-24,2018 25-34,2018 35-44,2018 45-54,2018 55-64,2018 65 AND ABOVE,2019 0-14,2019 15-24,2019 25-34,2019 35-44,2019 45-54,2019 55-64,2019 65 AND ABOVE,2020 0-14,2020 15-24,2020 25-34,2020 35-44,2020 45-54,2020 55-64,2020 65 AND ABOVE
Canada,15.2,6.9,11.7,17.0,18.2,15.6,15.4,15.3,6.8,12.1,17.2,18.5,15.3,14.8,15.1,6.8,12.0,17.0,18.7,15.4,15.1,14.9,6.7,11.5,16.8,19.2,15.6,15.3,14.8,6.5,11.2,16.6,19.5,15.7,15.7,15.0,6.1,11.7,16.5,19.2,15.7,15.8,15.7,4.6,12.6,15.8,18.3,16.5,16.4
United States Of America,19.8,6.7,10.1,17.4,20.5,15.0,10.5,20.0,6.9,10.4,17.2,20.4,14.4,10.6,20.1,7.0,10.2,16.6,20.8,14.5,10.9,19.7,7.1,10.0,16.1,21.0,14.6,11.5,19.7,7.1,9.6,15.8,21.4,14.7,11.7,19.6,7.0,9.6,15.5,21.8,14.8,11.8,13.8,5.3,11.3,14.1,21.9,18.7,14.9
Argentina,1.6,5.5,26.6,19.3,17.6,17.5,11.9,2.2,5.9,28.5,21.6,16.9,15.8,9.1,1.7,5.8,27.5,20.6,18.2,16.4,9.8,1.4,5.8,28.7,20.1,16.4,16.8,10.8,1.8,5.3,28.4,21.1,16.2,16.1,11.1,1.8,4.9,25.9,22.5,16.7,17.7,10.6,2.2,7.1,23.1,19.7,18.4,18.6,10.9
Brazil,2.5,6.7,27.3,23.4,19.1,15.0,6.0,2.6,8.1,29.2,23.9,17.4,13.5,5.3,2.7,8.5,29.8,25.1,16.5,12.1,5.3,2.6,7.1,28.9,24.9,16.5,13.6,6.4,2.5,6.4,26.6,26.5,16.6,13.9,7.5,2.5,6.1,27.2,27.4,16.6,13.4,6.8,2.7,5.9,24.5,27.0,18.0,15.0,6.9
Mexico,2.7,8.7,25.1,22.5,17.9,15.7,7.4,2.7,9.2,27.3,22.2,17.7,14.4,6.5,2.9,9.4,28.3,21.9,17.6,14.1,5.8,2.7,9.0,28.9,21.3,17.1,14.8,6.3,2.9,8.0,27.4,21.9,16.7,15.8,7.3,2.7,7.6,26.9,21.9,17.3,15.7,7.7,2.4,5.9,26.8,22.3,18.3,16.2,8.0
Austria,4.8,7.6,16.0,19.5,25.7,17.3,9.1,4.9,8.0,16.3,19.3,25.6,17.4,8.7,5.1,8.2,15.7,17.4,24.8,18.4,10.3,2.7,9.0,16.1,17.4,24.2,19,9.2,5.0,8.6,15.9,16.3,23.1,19.8,11.3,5.0,8.0,15.6,16.1,22.6,20.8,11.8,3.0,7.0,16.3,15.2,21.8,23.5,13.2
Belgium,6.6,8.2,14.7,19.3,24.6,17.9,8.7,7.0,8.7,15.0,19.7,24.0,17.0,8.5,7.3,8.5,15.4,19.9,24.1,16.7,8.1,7.2,8.0,16.5,20.7,24.0,16.1,7.5,7.1,8.0,15.9,19.5,23.2,17.0,9.3,7.5,8.1,15.0,18.2,23.5,18.2,9.4,6.4,6.9,15.1,18.0,23.0,19.0,11.6
Denmark,5.3,10.9,12.8,20.4,24.3,15.8,10.5,5.3,10.0,12.9,20.9,26.0,15.0,9.9,5.5,9.7,12.4,20.2,25.6,16.0,10.6,5.2,10.5,12.8,18.4,26.1,16.3,10.7,5.8,10.7,12.2,17.2,25.6,16.8,11.7,5.2,9.2,12.7,16.1,25.8,17.9,13.0,5.1,10.5,11.5,14.7,23.8,18.3,16.1
Finland,4.3,6.3,16.3,23.8,25.1,16.4,7.8,4.3,6.3,16.1,23.2,26.0,16.2,7.9,5.0,5.9,16.8,23.2,24.7,16.2,8.2,4.8,6.5,16.9,23.7,23.9,16.4,7.8,4.9,6.5,16.7,23.3,24.3,16.2,8.1,5.0,5.6,15.6,25.0,25.1,16.1,7.7,5.3,5.1,14.5,23.0,22.7,16.6,12.7
France,5.9,7.6,15.6,18.4,20.7,18.7,13.1,6.0,7.8,15.8,19.0,21.2,17.7,12.5,5.9,7.8,15.7,18.4,21.2,17.9,13.0,5.9,8.2,15.7,18.0,21.2,17.8,13.l,5.8,8.0,15.9,16.8,21.1,18.1,14.3,5.8,7.9,16.0,16.9,21.6,18.0,13.9,4.4,5.7,14.3,15.9,21.9,20.4,17.4
Germany,4.1,6.4,16.7,19.1,28.6,16.4,8.7,4.4,7.0,17.3,19.0,27.7,16.1,8.5,4.3,7.2,16.8,17.9,27.0,16.9,9.9,4.4,7.5,17.3,18.2,26.1,17.2,9.3,4.5,7.4,17.1,17.6,24.7,18.5,10.2,4.5,6.7,16.9,18.0,23.9,19.2,10.8,3.9,6.3,17.6,17.3,22.4,20.5,12.0
Greece,1.7,3.3,21.1,25.1,24.8,17.5,6.5,2.0,3.7,23.1,26.2,24.5,15.3,5.2,2.1,4.9,21.0,24.9,23.7,17.4,6.0,1.8,6.0,25.9,23.4,21.9,15.1,6,2.1,4.8,24.5,23.1,22.1,16.2,7.2,2.4,4.5,23.8,22.6,21.5,18.0,7.2,2.3,6.4,22.6,21.3,22.4,17.5,7.6
Ireland,16.7,6.4,17.9,26.0,18.6,10.1,4.3,17.5,6.9,17.4,26.2,17.9,9.9,4.2,16.3,7.6,17.0,26.2,17.9,10.2,4.8,16.1,7.6,16.1,26.0,19.0,10.3,4.9,15.5,7.5,14.6,25.8,19.7,11.1,5.8,15.6,7.6,14.3,24.4,20.5,11.6,6.1,9.5,6.7,16.1,22.0,21.2,14.6,10.0
Italy,3.5,5.0,16.4,23.4,24.8,17.2,9.7,4.4,5.5,16.7,23.5,24.7,16.4,8.8,4.7,5.7,17.2,22.1,24.6,16.6,9.0,5.6,6.1,17.0,20.7,24.4,16.5,9.7,5.6,5.8,16.9,19.6,24.5,17.1,10.5,5.2,5.7,16.7,18.9,24.6,18.2,10.8,5.2,5.0,14.6,16.7,24.0,20.7,13.7
Netherlands,4.6,6.6,15.2,21.1,27.1,17.4,8.0,5.0,7.1,15.9,21.4,26.8,17.0,6.8,4.9,7.1,15.7,20.5,27.1,17.2,7.5,5.6,6.1,17.0,20.7,24.4,16.5,9.7,4.5,7.1,16.4,18.6,26.4,18.5,8.5,4.5,6.5,16.3,18.4,26.9,19.2,8.3,3.1,4.5,16.3,18.9,28.3,19.9,9.1
Norway,7.1,12.5,14.4,17.0,21.4,17.6,10.0,7.8,12.7,14.6,17.4,22.6,16.4,8.5,7.9,12.9,14.9,17.2,21.2,16.7,9.3,5.6,6.1,17.0,20.7,24.4,16.5,9.7,9.0,11.6,15.6,17.2,20.7,16.2,9.7,8.5,10.2,14.2,17.0,20.3,17.4,12.4,6.8,11.8,15.1,14.8,20.7,18.1,12.6
Portugal,6.8,8.1,21.7,24.1,18.3,13.4,7.6,7.1,10.1,23.2,23.9,17.4,12.3,6.0,7.8,10.6,22.7,23.8,17.0,12.0,6.1,5.6,6.1,17.0,20.7,24.4,16.5,9.7,8.0,10.7,22.7,23.2,17.8,11.5,6.1,7.5,10.0,22.2,23.1,18.9,11.6,6.7,4.8,9.5,24.9,22.9,19.8,11.6,6.5
Spain,3.0,6.3,23.8,26.5,19.8,14.2,6.4,3.2,7.2,23.5,25.9,20.4,14.0,5.8,3.2,7.4,23.4,24.3,19.6,14.7,7.4,3.3,7.7,23.5,23.4,19.8,14.9,7.4,3.4,7.8,23.6,22.6,20.0,15.1,7.5,3.5,7.3,22.7,21.7,20.5,15.7,8.4,4.5,5.9,21.6,23.0,21.2,15.0,8.8
Sweden,6.4,9.3,15.8,18.7,23.2,16.9,9.7,6.3,9.6,14.7,19.3,23.6,16.7,9.8,6.6,8.0,15.4,19.2,23.6,16.4,10.8,6.7,8.1,14.8,18.9,23.8,16.8,11,7.1,6.9,14.8,18.9,23.0,16.7,12.6,7.2,6.5,14.9,19.5,23.3,17.0,11.5,6.6,6.3,15.2,17.6,20.4,19.2,14.8
Switzerland,3.8,7.1,15.4,17.2,25.3,20.1,11.1,4.2,7.3,15.2,16.3,25.5,19.8,11.7,4.1,7.4,15.1,15.3,24.0,20.7,13.3,4.4,8.3,15.3,15.2,23.5,20.8,12.5,4.3,8.5,15.2,14.5,22.9,21.3,13.3,4.2,7.8,15.4,14.6,23.0,21.9,13.2,3.6,7.3,14.7,13.8,21.8,23.3,15.4
United Kingdom,10.7,6.0,12.7,19.6,20.7,17.6,12.7,11.4,6.2,12.7,19.8,20.4,17.2,12.3,11.7,6.3,12.5,19.6,20.1,17.1,12.7,11.7,6.1,12.1,19.4,20.0,17.3,13.5,11.6,5.9,11.1,19.1,20.1,17.6,14.6,11.5,5.8,10.7,18.7,20.2,18.0,15.2,7.3,4.2,11.0,16.2,19.2,21.0,21.1
Czech Rep.,2.9,5.3,27.4,29.4,19.1,11.5,4.4,2.3,6.5,30.3,29.3,18.0,10.4,3.5,2.3,6.2,30.3,28.7,18.2,10.6,3.6,2.8,6.3,28.8,29.0,18.8,10.2,4.2,2.9,5.8,28.5,28.4,18.8,10.7,4.9,3.1,5.8,27.6,26.9,19.4,11.8,5.3,4.7,4.7,24.8,27.3,21.5,12.4,4.7
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,6.4,27.5,30.6,16.3,10.6,6.1,2.8,6.3,28.8,29.0,18.8,10.2,4.2,2.8,4.9,27.4,28.0,18.4,11.4,7.1,3.3,5.5,26.1,27.9,19.4,11.5,6.3,2.9,4.4,21.8,24.3,21.9,14.8,10.0
Kazakhstan,9.3,10.7,29.4,20.5,16.9,10.4,2.8,9.9,10.6,29.7,20.5,16.2,10.3,2.8,10.1,10.0,29.4,20.0,16.0,10.8,3.7,2.8,6.3,28.8,29.0,18.8,10.2,4.2,9.6,8.9,29.0,21.5,15.0,12.0,4.0,8.9,9.0,29.6,21.0,14.9,12.5,4.1,10.1,7.6,26.4,22.6,16.0,13.1,4.2
