Country of Nationality,2014 AIR,2014 SEA,2014 RAIL,2014 LAND,2015 AIR,2015 SEA,2015 RAIL,2015 LAND,2016 AIR,2016 SEA,2016 RAIL,2016 LAND,2017 AIR,2017 SEA,2017 RAIL,2017 LAND,2018 AIR,2018 SEA,2018 RAIL,2018 LAND,2019 AIR,2019 SEA,2019 RAIL,2019 LAND,2020 AIR,2020 SEA,2020 RAIL,2020 LAND
Canada,99.2,0.1,0.0,0.7,99.0,0.5,0.0,0.5,99.1,0.5,0.0,0.4,99.0,0.6,0.0,0.4,98.5,1.0,0.0,0.5,98.1,1.22,0.01,0.67,98.1,1.0,0.0,0.9
United States Of America,99.5,0.1,0.0,0.4,99.3,0.5,0.0,0.2,99.5,0.3,0.0,0.2,99.2,0.5,0.0,0.2,99.0,0.7,0.0,0.3,98.97,0.68,0.01,0.34,99.1,0.5,0.0,0.4
Argentina,97.9,0.0,0.0,2.1,97.7,0.4,0.0,1.9,98.5,0.8,0.0,0.7,97.4,1.1,0.0,1.5,97.2,1.3,0.0,1.5,96.61,1.54,0.02,1.83,97.3,1.5,0.0,1.2
Brazil,98.7,0.2,0.0,1.1,99.3,0.4,0.0,0.3,99.0,0.6,0.0,0.4,98.5,0.9,0.0,0.5,97.3,2.1,0.0,0.6,96.93,2.33,0.0,0.74,97.1,2.4,0.0,0.5
Mexico,99.1,0.2,0.0,0.7,98.0,1.6,0.0,0.4,96.4,3.2,0.0,0.4,97.4,2.2,0.0,0.3,97.0,2.6,0.0,0.4,95.82,3.89,0.0,0.29,96.7,2.8,0.0,0.4
Austria,99.0,0.1,0.0,0.9,98.8,0.6,0.0,0.6,97.3,2.3,0.0,0.4,98.2,1.4,0.0,0.4,97.4,2.1,0.0,0.5,97.04,2.34,0.0,0.62,97.2,2.3,0.0,0.5
Belgium,99.2,0.0,0.0,0.8,98.9,0.5,0.0,0.6,98.6,1.2,0.0,0.2,98.6,1.0,0.0,0.4,98.3,1.2,0.0,0.5,97.92,1.47,0.0,0.61,97.7,1.5,0.0,0.7
Denmark,99.1,0.3,0.0,0.6,98.8,0.8,0.0,0.4,98.7,1.0,0.0,0.2,99.0,0.7,0.0,0.4,98.8,0.8,0.0,0.4,98.22,1.33,0.0,0.45,97.9,1.7,0.0,0.4
Finland,99.1,0.1,0.0,0.8,99.1,0.2,0.0,0.7,99.2,0.4,0.0,0.4,99.4,0.3,0.0,0.3,99.1,0.4,0.0,0.5,98.87,0.65,0.0,0.48,97.8,1.9,0.0,0.3
France,99.2,0.1,0.0,0.7,99.3,0.2,0.0,0.5,99.3,0.5,0.0,0.2,99.0,0.5,0.0,0.5,98.7,0.8,0.0,0.5,98.7,0.75,0.0,0.55,98.7,0.8,0.0,0.5
Germany,99.0,0.2,0.0,0.8,96.9,2.6,0.0,0.5,93.9,5.8,0.0,0.2,96.2,3.4,0.0,0.4,95.8,3.6,0.0,0.6,94.48,4.96,0.01,0.55,95.1,4.4,0.0,0.5
Greece,94.8,4.1,0.0,1.1,94.7,4.7,0.0,0.6,94.4,5.1,0.0,0.5,97.9,1.6,0.0,0.6,96.0,3.2,0.0,0.8,94.73,4.88,0.0,0.4,92.2,7.3,0.0,0.5
Ireland,99.3,0.1,0.0,0.6,99.5,0.2,0.0,0.3,99.4,0.4,0.0,0.1,98.8,0.7,0.0,0.5,98.6,1.1,0.0,0.3,98.38,1.28,0.01,0.33,96.9,2.6,0.0,0.4
Italy,99.2,0.1,0.0,0.7,99.2,0.3,0.0,0.5,98.6,1.1,0.0,0.3,95.5,4.0,0.0,0.5,96.8,2.7,0.0,0.5,95.98,3.56,0.01,0.46,93.4,6.0,0.0,0.6
Netherlands,99.0,0.2,0.0,0.8,99.0,0.5,0.0,0.5,98.9,0.7,0.0,0.3,99.1,0.7,0.0,0.2,98.5,0.8,0.0,0.7,98.36,0.99,0.01,0.65,98.2,1.2,0.0,0.6
Norway,98.7,0.7,0.0,0.6,98.5,1.1,0.0,0.4,98.1,1.4,0.0,0.5,98.5,1.2,0.0,0.3,98.2,1.2,0.0,0.6,98.06,1.59,0.01,0.33,97.8,1.4,0.0,0.8
Portugal,99.7,0.1,0.0,0.2,99.7,0.1,0.0,0.2,99.7,0.2,0.0,0.1,99.6,0.2,0.0,0.2,99.4,0.5,0.0,0.1,99.48,0.37,0.0,0.15,99.0,0.9,0.0,0.1
Spain,98.7,0.1,0.0,1.2,98.8,0.3,0.0,0.9,99.0,0.6,0.0,0.4,98.7,0.6,0.0,0.7,98.5,0.8,0.0,0.7,98.0,1.16,0.01,0.83,98.1,1.0,0.0,0.9
Sweden,99.2,0.1,0.0,0.7,99.1,0.3,0.0,0.6,98.8,0.8,0.0,0.4,99.3,0.4,0.0,0.3,98.7,0.8,0.0,0.5,98.54,1.01,0.02,0.43,97.8,1.5,0.0,0.7
Switzerland,99.2,0.1,0.0,0.7,98.2,1.3,0.0,0.5,96.8,2.9,0.0,0.3,97.6,1.9,0.0,0.5,97.0,2.4,0.0,0.6,96.81,2.45,0.0,0.74,97.9,1.2,0.0,0.9
United Kingdom,99.5,0.2,0.0,0.3,99.4,0.4,0.0,0.2,99.1,0.8,0.0,0.1,99.1,0.7,0.0,0.2,98.4,1.4,0.0,0.2,97.87,1.82,0.0,0.3,97.7,2.0,0.0,0.2
Czech Rep.,97.3,0.0,0.0,2.7,98.7,0.1,0.0,1.2,99.0,0.4,0.0,0.6,97.9,0.4,0.0,1.6,97.6,0.3,0.0,2.1,97.49,0.74,0.0,1.76,98.6,0.6,0.1,0.8
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8,0.8,0.0,0.4,98.4,0.8,0.0,0.8,98.6,0.7,0.0,0.7,97.68,1.35,0.02,0.95,95.3,3.7,0.0,1.0
Kazakhstan,99.7,0.0,0.0,0.3,99.8,0.1,0.0,0.1,99.9,0.0,0.0,0.1,99.7,0.2,0.0,0.1,99.7,0.1,0.0,0.2,99.3,0.52,0.0,0.18,98.5,1.2,0.0,0.3
Poland,97.3,0.8,0.0,1.9,97.3,1.1,0.0,1.6,98.0,1.6,0.0,0.4,97.8,1.3,0.0,0.9,97.5,1.4,0.0,1.1,96.83,2.15,0.0,1.02,95.6,4.1,0.0,0.4
Russian Federation,99.3,0.4,0.0,0.3,99.1,0.6,0.0,0.3,99.2,0.7,0.0,0.1,99.1,0.6,0.0,0.2,99.1,0.6,0.0,0.3,98.81,0.92,0.0,0.26,97.8,1.9,0.0,0.3
Ukraine,93.4,0.6,0.0,0.6,91.2,8.4,0.0,0.4,91.8,8.1,0.0,0.1,93.0,6.6,0.0,0.4,93.2,6.4,0.0,0.4,93.04,6.53,0.0,0.43,87.3,12.0,0.0,0.6
Egypt,99.1,0.8,0.0,0.1,99.4,0.6,0.0,0.0,99.0,1.0,0.0,0.0,99.l,0.9,0.0,0.1,99.0,0.9,0.0,0.1,99.39,0.57,0.0,0.04,98.2,1.7,0.0,0.1
Kenya,99.8,0.1,0.0,0.1,99.9,0.0,0.0,0.1,99.9,0.1,0.0,0.1,99.8,0.1,0.0,0.1,99.9,0.0,0.0,0.1,99.81,0.06,0.0,0.13,99.8,0.1,0.0,0.1
Mauritius,99.5,0.1,0.0,0.4,99.6,0.0,0.0,0.4,99.5,0.1,0.0,0.4,99.4,0.3,0.0,0.3,99.7,0.1,0.0,0.2,99.47,0.27,0.0,0.26,99.3,0.3,0.0,0.3
Nigeria,99.9,0.0,0.0,0.1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.8,0.1,0.0,0.1,99.7,0.2,0.0,0.1,99.71,0.14,0.0,0.15,99.4,0.1,0.0,0.4
South Africa,99.1,0.1,0.0,0.8,98.9,0.3,0.0,0.8,98.9,0.7,0.0,0.4,98.9,0.9,0.0,0.2,98.9,0.9,0.0,0.2,98.18,1.63,0.0,0.19,96.5,3.3,0.0,0.2
Sudan,99.8,0.2,0.0,0.0,99.9,0.0,0.0,0.1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.9,0.1,0.0,0.0,99.94,0.04,0.0,0.01,99.9,0.0,0.0,0.0
Tanzania,99.6,0.2,0.0,0.2,99.7,0.1,0.0,0.2,99.8,0.2,0.0,0.0,99.7,0.1,0.0,0.2,99.8,0.1,0.0,0.1,99.76,0.15,0.0,0.09,99.5,0.5,0.0,0.1
Bahrain,97.9,0.0,0.0,2.1,99.6,0.0,0.0,0.4,99.5,0.3,0.0,0.2,99.5,0.1,0.0,0.4,99.8,0.0,0.0,0.2,99.67,0.07,0.01,0.26,99.6,0.2,0.0,0.3
Iraq,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.9,0.1,0.0,0.0,100.0,0.0,0.0,0.0,99.98,0.02,0.0,0.0,100.0,0.0,0.0,0.0
Israel,97.8,0.0,0.0,2.2,99.0,0.1,0.0,0.9,99.3,0.0,0.0,0.6,98.8,0.2,0.0,1.0,98.8,0.2,0.0,1.0,98.71,0.35,0.0,0.94,98.7,0.8,0.0,0.6
Oman,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.9,0.09,0.0,0.0,100.0,0.0,0.0,0.0
Saudi Arabia,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.95,0.04,0.0,0.01,99.9,0.0,0.0,0.0
Turkey,97.6,1.8,0.0,0.6,96.9,2.6,0.0,0.5,97.9,1.9,0.0,0.2,98.1,1.6,0.0,0.2,97.3,2.4,0.0,0.3,96.11,3.6,0.01,0.28,92.5,7.4,0.0,0.1
